k,start,end,matches,median_range_logerr,mean_range_logerr,median_close_logerr,mean_close_logerr,inside_daily_range
169,1993-01-01 01:06:06.799000+00:00,2030-09-13 17:29:12.650000+00:00,603,0.09252431262694341,0.28848693838759204,0.09543299190362153,0.2932242594911663,0.03814262023217247
168,1992-11-12 08:03:19.503000+00:00,2030-07-26 00:26:25.354000+00:00,646,0.09294265705261866,0.2903892568923303,0.09804398670999442,0.2952980389320205,0.032507739938080496
167,1992-09-23 15:00:32.207000+00:00,2030-06-06 07:23:38.058000+00:00,665,0.09895499945731294,0.29732720812045166,0.10300363630374394,0.3022785557108455,0.045112781954887216
170,1993-02-19 18:08:54.095000+00:00,2030-11-02 10:31:59.946000+00:00,606,0.1018279646584844,0.2971544154782883,0.10457849630845756,0.3020221564518836,0.03135313531353135
172,1993-05-30 04:14:28.687000+00:00,2031-02-09 20:37:34.538000+00:00,643,0.11508300706782888,0.3102930075418256,0.11805476865996126,0.3157261475639664,0.03265940902021773
171,1993-04-10 11:11:41.391000+00:00,2030-12-22 03:34:47.242000+00:00,631,0.11529750446798259,0.3089306443245907,0.11976616789403244,0.31400936548730757,0.04120443740095087
166,1992-08-04 21:57:44.911000+00:00,2030-04-17 14:20:50.762000+00:00,679,0.11823564136757292,0.3146575146818976,0.12239640769268664,0.31935110820067053,0.03829160530191458
163,1992-03-08 18:49:23.023000+00:00,2029-11-19 11:12:28.874000+00:00,694,0.11926923105270101,0.31095297488726803,0.12492291681143258,0.3161220744986816,0.0446685878962536
165,1992-06-16 04:54:57.615000+00:00,2030-02-26 21:18:03.466000+00:00,698,0.12063303088629376,0.32123571168130854,0.12649593228187125,0.3260853767100948,0.06160458452722063
164,1992-04-27 11:52:10.319000+00:00,2030-01-08 04:15:16.170000+00:00,687,0.12130943500578105,0.3110644790882619,0.12601445215823076,0.31619060578456365,0.049490538573508006
173,1993-07-18 21:17:15.983000+00:00,2031-03-31 13:40:21.834000+00:00,694,0.1250627873729369,0.31188456002979803,0.13092390948780375,0.31677679001121944,0.04178674351585014
162,1992-01-19 01:46:35.727000+00:00,2029-09-30 18:09:41.578000+00:00,662,0.1327399865922377,0.3163765887031785,0.14094894376763262,0.32147939528820074,0.0513595166163142
174,1993-09-06 14:20:03.279000+00:00,2031-05-20 06:43:09.130000+00:00,688,0.13416203016246964,0.31510327399278704,0.139099209744316,0.32035468527129213,0.03924418604651163
