source_row_group,timestamp_cycle,path_score,local_best_cycle,local_best_score,second_best_cycle,second_best_score
0,245,0.0060894697150970945,245,0.0060894697150970945,247,0.04540997415621939
1,245,0.0010313290248255631,245,0.0010313290248255631,246,0.017299429127025062
2,246,0.003664916514854047,246,0.003664916514854047,242,0.011772442424099548
3,247,0.012850650620649898,247,0.012850650620649898,245,0.03637664903651351
4,247,0.002857324667357433,247,0.002857324667357433,252,0.025271274400373554
5,248,0.002913380835443546,248,0.002913380835443546,247,0.03241641505924332
6,248,0.011739202802417937,252,0.010283232371476598,248,0.011739202802417937
7,249,0.0011798082592008536,249,0.0011798082592008536,250,0.013584052871890675
8,250,0.014221120878580053,250,0.014221120878580053,249,0.014236970917873668
9,250,0.0015327322557791446,250,0.0015327322557791446,254,0.014580359198235712
10,251,0.0033977152577691046,251,0.0033977152577691046,249,0.015919995120358806
11,251,0.0036868773435230575,251,0.0036868773435230575,254,0.02868545790044162
12,252,0.0034138641467660606,252,0.0034138641467660606,248,0.024923872605191303
13,253,0.0036615388540891503,253,0.0036615388540891503,254,0.019059461999399018
14,253,0.005456248205543391,253,0.005456248205543391,250,0.02012877663285126
15,254,0.0011344009789129288,254,0.0011344009789129288,249,0.010686527506794385
16,255,0.011915941359346632,255,0.011915941359346632,250,0.02139399350148627
17,255,0.0011553022080284915,255,0.0011553022080284915,251,0.0169478992849322
18,256,0.005223997248023191,256,0.005223997248023191,258,0.02671164601188812
19,256,0.0026543080138780083,256,0.0026543080138780083,261,0.030318264974532893
20,257,0.0018430816222241094,257,0.0018430816222241094,255,0.01935263275345166
21,258,0.004431887442232362,258,0.004431887442232362,259,0.01323551726232777
22,258,0.0035519738815168126,258,0.0035519738815168126,260,0.012243268616828734
23,259,0.0017049284444535097,259,0.0017049284444535097,258,0.00939145006679351
24,259,0.004378227439732981,259,0.004378227439732981,260,0.015925804752395935
25,260,0.001192045947264472,260,0.001192045947264472,261,0.012274290555076508
26,261,0.004559388843769392,261,0.004559388843769392,260,0.006198779209078458
27,261,0.0015451647289927031,261,0.0015451647289927031,256,0.016916888170681484
28,262,0.002797829459549844,262,0.002797829459549844,256,0.02872428666014808
29,262,0.01242773350076723,262,0.01242773350076723,263,0.01982153796884025
30,263,0.003438257580712226,263,0.003438257580712226,262,0.039019956273813675
31,264,0.009043130763868633,264,0.009043130763868633,263,0.11526696663110923
32,264,0.017024826027735952,264,0.017024826027735952,265,0.020497004166595393
33,265,0.0015028950913022244,265,0.0015028950913022244,266,0.0909381865009826
34,265,0.01111680877218158,265,0.01111680877218158,266,0.02427113615450776
35,266,0.0017258955315050811,266,0.0017258955315050811,270,0.02260752694656787
36,267,0.021135204241855325,267,0.021135204241855325,273,0.03771218943852938
37,267,0.021961302290069627,267,0.021961302290069627,270,0.04741362777603002
38,268,0.014156583420981946,268,0.014156583420981946,271,0.025755103392420358
39,268,0.011372936156424752,268,0.011372936156424752,269,0.012820240805061044
40,269,0.003926898620906425,269,0.003926898620906425,267,0.057198506052163936
41,270,0.006817652120136489,270,0.006817652120136489,266,0.02675744491465171
42,271,0.007167170178746657,271,0.007167170178746657,268,0.04332137201131118
43,271,0.001406427170012362,271,0.001406427170012362,268,0.02439702424812363
44,272,0.008636992489564977,272,0.008636992489564977,271,0.02171140968204628
45,272,0.005338513617019945,272,0.005338513617019945,273,0.0074846779383386354
46,273,0.003912955808183413,273,0.003912955808183413,275,0.018889301936527703
47,273,0.007959339589177598,273,0.007959339589177598,274,0.00848721345946954
48,274,0.0015228001285000155,274,0.0015228001285000155,272,0.028338212714826463
49,275,0.002304224157527632,275,0.002304224157527632,273,0.022690197429330105
50,275,0.004212547967294519,275,0.004212547967294519,272,0.011830098769359965
51,276,0.001131446360680976,276,0.001131446360680976,273,0.020191211766320043
52,277,0.011827712143902012,277,0.011827712143902012,267,0.08213913933437667
