time,rule,direction,xau_entry,xau_exit,gross,spread_cost,pnl,raw_pnl,weight,equity
2026-03-24 14:45:00+00:00,w4_q0.4_h9,-1,4404.4985,4416.5935,-12.095000000000255,2.382598869734385,-4.825866289911547,-14.47759886973464,0.3333333333333333,-4.825866289911547
2026-03-24 14:55:00+00:00,w6_q0.4_h9,-1,4416.225,4424.6535,-8.428499999999985,2.404089934826457,-3.610863311608814,-10.832589934826443,0.3333333333333333,-8.43672960152036
2026-03-24 14:55:00+00:00,w6_q0.45_h9,-1,4416.225,4424.6535,-8.428499999999985,2.404089934826457,-3.610863311608814,-10.832589934826443,0.3333333333333333,-12.047592913129174
2026-03-24 14:55:00+00:00,w4_q0.4_h9,-1,4416.225,4424.6535,-8.428499999999985,2.404089934826457,-3.610863311608814,-10.832589934826443,0.3333333333333333,-15.658456224737987
2026-03-24 15:00:00+00:00,w6_q0.4_h9,-1,4411.6435,4429.4285,-17.784999999999854,2.331635562014263,-6.705545187338039,-20.116635562014118,0.3333333333333333,-22.36400141207603
2026-03-24 15:00:00+00:00,w6_q0.45_h9,-1,4411.6435,4429.4285,-17.784999999999854,2.331635562014263,-6.705545187338039,-20.116635562014118,0.3333333333333333,-29.069546599414068
2026-03-24 15:00:00+00:00,w4_q0.4_h9,-1,4411.6435,4429.4285,-17.784999999999854,2.331635562014263,-6.705545187338039,-20.116635562014118,0.3333333333333333,-35.77509178675211
2026-03-24 15:05:00+00:00,w6_q0.4_h9,-1,4402.8835,4419.0465,-16.163000000000466,1.9924008695920286,-6.051800289864165,-18.155400869592494,0.3333333333333333,-41.826892076616275
2026-03-24 15:05:00+00:00,w6_q0.45_h9,-1,4402.8835,4419.0465,-16.163000000000466,1.9924008695920286,-6.051800289864165,-18.155400869592494,0.3333333333333333,-47.878692366480436
2026-03-24 15:05:00+00:00,w4_q0.4_h9,-1,4402.8835,4419.0465,-16.163000000000466,1.9924008695920286,-6.051800289864165,-18.155400869592494,0.3333333333333333,-53.9304926563446
2026-03-24 15:10:00+00:00,w6_q0.4_h9,-1,4411.4265,4411.68,-0.25350000000071304,2.279017643896899,-0.8441725479658706,-2.532517643897612,0.3333333333333333,-54.774665204310466
2026-03-24 15:10:00+00:00,w6_q0.45_h9,-1,4411.4265,4411.68,-0.25350000000071304,2.279017643896899,-0.8441725479658706,-2.532517643897612,0.3333333333333333,-55.618837752276335
2026-03-24 15:10:00+00:00,w4_q0.4_h9,-1,4411.4265,4411.68,-0.25350000000071304,2.279017643896899,-0.8441725479658706,-2.532517643897612,0.3333333333333333,-56.4630103002422
2026-03-24 15:15:00+00:00,w6_q0.45_h9,-1,4408.9415,4408.72,0.22149999999965075,2.1730876900879883,-0.6505292300294458,-1.9515876900883375,0.3333333333333333,-57.11353953027165
2026-03-24 15:15:00+00:00,w4_q0.4_h9,-1,4408.9415,4408.72,0.22149999999965075,2.1730876900879883,-0.6505292300294458,-1.9515876900883375,0.3333333333333333,-57.7640687603011
2026-03-24 15:15:00+00:00,w6_q0.4_h9,-1,4408.9415,4408.72,0.22149999999965075,2.1730876900879883,-0.6505292300294458,-1.9515876900883375,0.3333333333333333,-58.41459799033055
2026-03-24 15:20:00+00:00,w4_q0.4_h9,-1,4414.1465,4392.04,22.10649999999987,2.12496285309595,6.660512382301306,19.981537146903918,0.3333333333333333,-51.75408560802924
2026-03-24 15:20:00+00:00,w6_q0.4_h9,-1,4414.1465,4392.04,22.10649999999987,2.12496285309595,6.660512382301306,19.981537146903918,0.3333333333333333,-45.09357322572794
2026-03-24 15:20:00+00:00,w6_q0.45_h9,-1,4414.1465,4392.04,22.10649999999987,2.12496285309595,6.660512382301306,19.981537146903918,0.3333333333333333,-38.43306084342663
2026-03-24 15:25:00+00:00,w4_q0.4_h9,-1,4412.91,4397.6215,15.288499999999658,2.0197315104126767,4.422922829862327,13.268768489586982,0.3333333333333333,-34.0101380135643
2026-03-24 15:25:00+00:00,w6_q0.4_h9,-1,4412.91,4397.6215,15.288499999999658,2.0197315104126767,4.422922829862327,13.268768489586982,0.3333333333333333,-29.587215183701975
2026-03-24 15:25:00+00:00,w6_q0.45_h9,-1,4412.91,4397.6215,15.288499999999658,2.0197315104126767,4.422922829862327,13.268768489586982,0.3333333333333333,-25.16429235383965
2026-03-24 15:30:00+00:00,w4_q0.4_h9,-1,4416.5935,4399.99,16.603500000000167,2.102140744327264,4.833786418557634,14.501359255672902,0.3333333333333333,-20.330505935282016
2026-03-24 15:30:00+00:00,w6_q0.4_h9,-1,4416.5935,4399.99,16.603500000000167,2.102140744327264,4.833786418557634,14.501359255672902,0.3333333333333333,-15.496719516724383
2026-03-24 15:30:00+00:00,w6_q0.45_h9,-1,4416.5935,4399.99,16.603500000000167,2.102140744327264,4.833786418557634,14.501359255672902,0.3333333333333333,-10.66293309816675
2026-03-24 15:35:00+00:00,w4_q0.4_h9,-1,4423.4785,4401.35,22.128499999999804,2.0294315874339484,6.699689470855285,20.099068412565856,0.3333333333333333,-3.9632436273114653
2026-03-24 15:35:00+00:00,w6_q0.4_h9,-1,4423.4785,4401.35,22.128499999999804,2.0294315874339484,6.699689470855285,20.099068412565856,0.3333333333333333,2.7364458435438195
2026-03-24 15:35:00+00:00,w6_q0.45_h9,-1,4423.4785,4401.35,22.128499999999804,2.0294315874339484,6.699689470855285,20.099068412565856,0.3333333333333333,9.436135314399104
2026-03-24 15:40:00+00:00,w4_q0.4_h9,-1,4424.6535,4400.1065,24.54700000000048,1.8558070979363421,7.563730967354712,22.691192902064138,0.3333333333333333,16.999866281753818
2026-03-24 15:40:00+00:00,w6_q0.45_h9,-1,4424.6535,4400.1065,24.54700000000048,1.8558070979363421,7.563730967354712,22.691192902064138,0.3333333333333333,24.56359724910853
2026-03-24 15:40:00+00:00,w6_q0.4_h9,-1,4424.6535,4400.1065,24.54700000000048,1.8558070979363421,7.563730967354712,22.691192902064138,0.3333333333333333,32.12732821646324
2026-03-24 15:45:00+00:00,w6_q0.45_h9,-1,4429.4285,4383.2635,46.164999999999964,2.3489689201650235,14.605343693278314,43.81603107983494,0.3333333333333333,46.732671909741555
