time,direction,xau_entry,xau_exit,gross,spread_cost,pnl,equity
2026-05-22 14:30:00+00:00,1,4501.015,4515.945,14.929999999999382,1.019794890781215,13.910205109218166,13.910205109218166
2026-05-22 14:45:00+00:00,-1,4504.075,4519.37,-15.295000000000073,1.0621736930860297,-16.357173693086104,-2.446968583867937
2026-05-22 14:50:00+00:00,-1,4503.82,4520.8235,-17.003500000000713,1.067825214899716,-18.07132521490043,-20.51829379876837
2026-05-22 14:55:00+00:00,-1,4500.645,4518.325,-17.67999999999938,1.0710246526221303,-18.751024652621513,-39.26931845138988
2026-05-22 15:00:00+00:00,-1,4505.74,4514.915,-9.175000000000182,1.155293916024015,-10.330293916024196,-49.599612367414075
2026-05-22 15:05:00+00:00,-1,4511.295,4516.955,-5.6599999999998545,1.179191718426488,-6.839191718426342,-56.43880408584042
2026-05-22 15:10:00+00:00,-1,4511.219999999999,4520.1900000000005,-8.970000000001164,1.129898014440456,-10.09989801444162,-66.53870210028204
2026-05-22 15:15:00+00:00,-1,4515.945,4519.135,-3.1900000000005093,1.1601560818083891,-4.3501560818088985,-70.88885818209094
2026-05-22 15:20:00+00:00,-1,4514.47,4517.96,-3.4899999999997817,1.0763516110797147,-4.566351611079496,-75.45520979317044
2026-05-22 15:25:00+00:00,-1,4519.49,4519.48,0.010000000000218279,1.064686329588027,-1.0546863295878086,-76.50989612275825
2026-05-22 15:30:00+00:00,-1,4519.37,4517.145,2.2249999999994543,1.1432060475161976,1.0817939524832567,-75.428102170275
2026-05-22 15:35:00+00:00,-1,4520.8235,4520.4235,0.4000000000005457,1.1267393812270434,-0.7267393812264977,-76.15484155150149
2026-05-22 15:40:00+00:00,-1,4518.325,4523.825,-5.5,1.1343773796192331,-6.634377379619233,-82.78921893112073
2026-05-22 15:45:00+00:00,-1,4514.915,4522.275,-7.359999999999673,1.0905393505778938,-8.450539350577566,-91.2397582816983
2026-05-22 16:25:00+00:00,1,4523.825,4519.375,-4.449999999999818,1.0939304005252806,-5.543930400525099,-96.7836886822234
2026-05-22 16:35:00+00:00,1,4519.735000000001,4516.195,-3.540000000000873,1.0496323633783229,-4.589632363379196,-101.3733210456026
2026-05-22 16:55:00+00:00,-1,4515.09,4522.280000000001,-7.190000000000509,1.0947398843930458,-8.284739884393556,-109.65806092999615
2026-05-22 17:05:00+00:00,-1,4520.105,4519.835,0.26999999999952706,1.0854085138162748,-0.8154085138167477,-110.4734694438129
2026-05-22 17:10:00+00:00,-1,4519.375,4519.295,0.07999999999992724,1.0787678992918472,-0.99876789929192,-111.47223734310482
2026-05-22 17:15:00+00:00,-1,4514.9400000000005,4515.505,-0.5649999999995998,1.090192644483385,-1.6551926444829848,-113.1274299875878
2026-05-22 17:30:00+00:00,-1,4520.12,4515.056500000001,5.063499999999294,1.16306299694189,3.9004370030574043,-109.2269929845304
2026-05-22 17:40:00+00:00,-1,4522.280000000001,4515.35,6.930000000000291,1.006979032258106,5.923020967742185,-103.30397201678821
2026-05-22 17:50:00+00:00,-1,4519.835,4518.37,1.4650000000001455,1.0680778894472094,0.39692211055293614,-102.90704990623527
2026-05-22 18:00:00+00:00,1,4515.505,4513.195,-2.3100000000004,1.1615264270613301,-3.4715264270617303,-106.378576333297
2026-05-22 18:05:00+00:00,1,4515.58,4515.469999999999,-0.11000000000058208,1.1068447121820886,-1.2168447121826707,-107.59542104547968
2026-05-22 18:10:00+00:00,1,4513.93,4515.3435,1.413499999999658,1.1393910574875283,0.2741089425121297,-107.32131210296755
2026-05-22 18:15:00+00:00,1,4515.056500000001,4510.79,-4.266500000000633,1.0738372268274454,-5.340337226828078,-112.66164932979564
2026-05-22 18:20:00+00:00,1,4516.59,4508.746499999999,-7.843500000000859,0.9941223300971032,-8.837622330097961,-121.4992716598936
2026-05-22 19:05:00+00:00,1,4508.746499999999,4507.7835,-0.9629999999997381,1.3415421853389042,-2.3045421853386423,-123.80381384523224
