time,direction,leader_close,xau_entry,xau_exit,gross,spread_cost,pnl,equity
2025-12-02 10:40:00+00:00,1,1.1604899999999998,4187.575,4205.125,17.550000000000182,1.1246689891080002,16.425331010892183,16.425331010892183
2025-12-02 13:50:00+00:00,-1,1.1616,4208.615,4192.37,16.24499999999989,1.2179862593611204,15.02701374063877,31.45234475153095
2025-12-02 15:35:00+00:00,1,1.161245,4188.5,4188.265,-0.23499999999967258,1.1815173940523738,-1.4165173940520464,30.035827357478905
2025-12-03 08:00:00+00:00,1,1.164345,4205.995,4201.57,-4.425000000000182,1.110589583430638,-5.53558958343082,24.500237774048085
2025-12-03 09:30:00+00:00,1,1.16442,4201.57,4198.6,-2.969999999999345,1.0444070713036315,-4.014407071302976,20.48583070274511
2025-12-03 11:00:00+00:00,1,1.16572,4198.6,4209.8465,11.246499999999287,1.1116524096909215,10.134847590308365,30.620678293053473
2025-12-03 12:30:00+00:00,1,1.166845,4209.8465,4233.445,23.598500000000058,1.0971504029007721,22.501349597099285,53.12202789015276
2025-12-03 14:00:00+00:00,-1,1.1664,4233.445,4229.005,4.4399999999996,1.1705143743264759,3.269485625673124,56.391513515825885
2025-12-03 15:35:00+00:00,-1,1.16589,4225.94,4208.165,17.774999999999636,1.1235727655434558,16.65142723445618,73.04294075028207
2025-12-04 07:00:00+00:00,1,1.165955,4188.54,4192.875,4.335000000000036,1.1178380502289313,3.2171619497711053,76.26010270005318
2025-12-04 08:30:00+00:00,1,1.16735,4192.875,4200.0,7.125,1.114761455137532,6.010238544862468,82.27034124491566
2025-12-04 10:05:00+00:00,1,1.167325,4201.24,4199.23,-2.0100000000002183,1.0881744042884443,-3.0981744042886623,79.172166840627
2025-12-04 13:25:00+00:00,-1,1.16681,4195.99,4201.425,-5.4350000000004,1.2097101345090877,-6.644710134509488,72.5274567061175
2025-12-04 15:55:00+00:00,-1,1.1673300000000002,4207.4065,4204.91,2.4965000000001965,1.0950051146073767,1.4014948853928197,73.92895159151033
2025-12-05 10:25:00+00:00,-1,1.16499,4224.16,4223.64,0.5199999999995271,1.0896132883001866,-0.5696132883006595,73.35933830320967
2025-12-05 12:00:00+00:00,-1,1.16503,4226.435,4234.675,-8.239999999999782,0.8516119127944826,-9.091611912794264,64.2677263904154
2025-12-05 13:30:00+00:00,-1,1.165095,4234.675,4216.595,18.079999999999927,1.1320670677277214,16.947932932272206,81.21565932268761
2025-12-09 07:00:00+00:00,1,1.16448,4183.8285,4186.3115,2.4830000000001746,1.2145375360401827,1.268462463959992,82.4841217866476
2025-12-09 08:40:00+00:00,-1,1.1646450000000002,4190.925,4204.4,-13.474999999999454,1.134948378873982,-14.609948378873437,67.87417340777417
2025-12-09 10:15:00+00:00,-1,1.164855,4208.35,4206.195,2.155000000000655,1.1055167798544279,1.049483220146227,68.9236566279204
2025-12-09 12:45:00+00:00,-1,1.163655,4206.195,4191.755,14.4399999999996,1.0749241793146744,13.365075820684925,82.28873244860532
2025-12-09 14:45:00+00:00,-1,1.163265,4205.7,4208.85,-3.1500000000005457,1.1163875996753656,-4.2663875996759115,78.02234484892941
2025-12-10 07:00:00+00:00,1,1.16354,4207.87,4202.945,-4.925000000000182,1.0976592009484663,-6.022659200948648,71.99968564798075
2025-12-10 08:30:00+00:00,1,1.16535,4202.945,4192.8065,-10.138500000000022,1.1032781250929566,-11.241778125092978,60.75790752288778
2025-12-10 10:00:00+00:00,1,1.16355,4192.8065,4197.315,4.508499999999913,1.1208251603238046,3.387674839676108,64.14558236256389
2025-12-11 07:35:00+00:00,1,1.1699000000000002,4214.19,4211.435,-2.7549999999991996,1.149758907253601,-3.9047589072528006,60.24082345531109
2025-12-11 13:00:00+00:00,1,1.17165,4215.34,4235.815,20.474999999999454,1.1299486343654708,19.345051365633985,79.58587482094507
2025-12-11 14:30:00+00:00,1,1.1742400000000002,4235.815,4256.18,20.36500000000069,1.0908186187520241,19.274181381248667,98.86005620219373
2025-12-12 07:00:00+00:00,-1,1.173745,4282.985,4296.825,-13.840000000000146,1.101371482375227,-14.941371482375372,83.91868471981836
2025-12-12 08:30:00+00:00,-1,1.17386,4296.825,4333.525,-36.69999999999982,1.17898522420703,-37.87898522420685,46.03969949561151
2025-12-12 11:00:00+00:00,-1,1.172755,4333.525,4330.4,3.125,1.3129085893095311,1.8120914106904689,47.85179090630198
2025-12-12 12:30:00+00:00,-1,1.17226,4330.4,4341.705,-11.305000000000291,1.4033113336681293,-12.708311333668421,35.14347957263356
2025-12-12 15:05:00+00:00,1,1.1744599999999998,4346.325,4266.395,-79.92999999999938,1.430093008017096,-81.36009300801648,-46.21661343538292
2025-12-15 07:00:00+00:00,-1,1.1733,4342.005,4348.27,-6.265000000000327,1.1149898851858575,-7.379989885186185,-53.5966033205691
2025-12-15 10:00:00+00:00,1,1.1742400000000002,4343.655,4340.825,-2.8299999999999272,1.1021126241113712,-3.9321126241112987,-57.5287159446804
2025-12-15 11:30:00+00:00,1,1.174675,4340.825,4334.01,-6.8149999999996,1.060328158501439,-7.875328158501039,-65.40404410318143
2025-12-15 14:05:00+00:00,1,1.17461,4330.8515,4293.49,-37.36149999999998,1.1159883924087506,-38.47748839240873,-103.88153249559016
2025-12-16 09:50:00+00:00,1,1.175855,4278.02,4276.06,-1.9600000000000364,1.1083690280297038,-3.06836902802974,-106.9499015236199
2025-12-16 11:20:00+00:00,1,1.17537,4276.06,4293.355,17.294999999999163,1.1095945403440226,16.18540545965514,-90.76449606396476
2025-12-16 14:15:00+00:00,-1,1.17732,4326.995,4328.315,-1.319999999999709,1.331968033527744,-2.651968033527453,-93.41646409749221
2025-12-16 15:45:00+00:00,-1,1.177615,4328.315,4309.095,19.219999999999345,1.1352497902579541,18.08475020974139,-75.33171388775082
2025-12-17 07:00:00+00:00,-1,1.17068,4325.485,4316.115,9.36999999999989,1.1995386863572601,8.170461313642631,-67.16125257410819
2025-12-17 10:00:00+00:00,1,1.171755,4317.445,4317.0,-0.44499999999970896,1.0783913833619807,-1.5233913833616897,-68.68464395746987
2025-12-17 13:35:00+00:00,-1,1.1722450000000002,4336.005,4327.475,8.529999999999745,1.2315376979862842,7.298462302013461,-61.38618165545641
2025-12-18 07:00:00+00:00,1,1.1749299999999998,4334.78,4326.57,-8.210000000000036,1.0989711797385104,-9.308971179738547,-70.69515283519496
2025-12-18 11:05:00+00:00,-1,1.172395,4328.0635,4333.855,-5.79149999999936,1.2514522476583647,-7.042952247657724,-77.73810508285268
2025-12-18 14:45:00+00:00,1,1.1737099999999998,4314.785,4372.43,57.64500000000044,1.3643018065111254,56.280698193489314,-21.45740688936337
2025-12-19 07:00:00+00:00,-1,1.17181,4324.865,4326.6685,-1.8034999999999854,1.1708873171737444,-2.97438731717373,-24.4317942065371
2025-12-19 09:30:00+00:00,-1,1.1710699999999998,4326.6685,4328.51,-1.841500000000451,1.136252023808007,-2.977752023808458,-27.409546230345555
2025-12-19 13:20:00+00:00,-1,1.17083,4330.725,4345.63,-14.904999999999745,1.131426361727152,-16.036426361726896,-43.44597259207245
2025-12-19 15:55:00+00:00,-1,1.1709550000000002,4347.945,4352.015,-4.0700000000006185,1.197042444968686,-5.267042444969304,-48.71301503704176
2025-12-22 07:00:00+00:00,-1,1.17167,4415.13,4410.03,5.100000000000364,1.5967806458223806,3.5032193541779835,-45.20979568286377
2025-12-22 08:40:00+00:00,1,1.17338,4410.1865,4414.08,3.893500000000131,1.414802756315067,2.478697243685064,-42.73109843917871
2025-12-22 10:10:00+00:00,1,1.173415,4414.08,4410.1715,-3.908499999999549,1.6302582148812301,-5.5387582148807795,-48.26985665405949
2025-12-22 12:10:00+00:00,1,1.1737799999999998,4407.245,4423.95,16.704999999999927,1.590659022636915,15.114340977363012,-33.155515676696474
2025-12-23 09:15:00+00:00,1,1.1785,4482.93,4483.8,0.8699999999998909,1.5800252121295375,-0.7100252121296466,-33.86554088882612
2025-12-23 10:45:00+00:00,1,1.179855,4483.8,4468.2485,-15.551500000000487,1.6639334861910478,-17.215433486191536,-51.080974375017654
2025-12-23 14:45:00+00:00,1,1.17726,4454.82,4461.05,6.230000000000473,1.3483169833381097,4.881683016662363,-46.19929135835529
2025-12-24 07:05:00+00:00,1,1.17985,4492.305,4490.105,-2.2000000000007276,1.568285053378732,-3.7682850533794596,-49.96757641173475
2025-12-24 10:35:00+00:00,1,1.17983,4484.31,4492.77,8.460000000000036,1.6730721640041868,6.78692783599585,-43.1806485757389
2025-12-24 13:00:00+00:00,-1,1.178825,4492.77,4488.34,4.430000000000291,1.634768163735896,2.795231836264395,-40.38541673947451
2025-12-24 14:30:00+00:00,-1,1.17832,4488.34,4489.5185,-1.1784999999999854,1.6050448094032361,-2.783544809403222,-43.16896154887773
2025-12-26 07:00:00+00:00,-1,1.177535,4512.003,4514.5815,-2.578500000000531,2.1498369414942737,-4.728336941494804,-47.897298490372535
2025-12-26 08:30:00+00:00,-1,1.177385,4514.5815,4514.6335,-0.05199999999967986,2.0453652538129687,-2.0973652538126486,-49.99466374418518
2025-12-26 10:30:00+00:00,-1,1.177635,4520.89,4509.01,11.88000000000011,2.092426334008117,9.787573665991992,-40.20709007819319
2025-12-26 12:10:00+00:00,1,1.17766,4510.7565,4538.1115,27.354999999999563,1.6302467699397198,25.724753230059843,-14.482336848133347
2025-12-26 15:50:00+00:00,-1,1.17746,4541.2015,4522.25,18.951500000000124,1.6494086620730009,17.302091337927124,2.8197544897937767
2025-12-29 09:50:00+00:00,1,1.1777799999999998,4472.4,4330.6585,-141.7415000000001,1.6666535218797012,-143.4081535218798,-140.58839903208602
2025-12-30 07:45:00+00:00,-1,1.17699,4381.88,4378.3035,3.5765000000001237,1.4357209564083504,2.140779043591773,-138.44761998849424
2026-01-05 07:25:00+00:00,1,1.1690200000000002,4420.4765,4430.2185,9.74200000000019,1.5618477184521946,8.180152281547995,-130.26746770694623
2026-01-05 08:55:00+00:00,-1,1.168345,4430.2185,4433.2565,-3.0380000000004657,1.3309733233292438,-4.368973323329709,-134.63644103027593
2026-01-05 10:25:00+00:00,-1,1.16824,4433.2565,4409.73,23.52650000000085,1.5696188450886788,21.95688115491217,-112.67955987536376
2026-01-06 09:40:00+00:00,-1,1.1713749999999998,4456.0185,4450.8785,5.140000000000327,1.7369938420903193,3.403006157910008,-109.27655371745375
2026-01-06 11:15:00+00:00,-1,1.17057,4450.6455,4458.245,-7.599500000000262,1.8870396233743396,-9.486539623374602,-118.76309334082835
2026-01-06 13:50:00+00:00,-1,1.1710699999999998,4465.16,4476.72,-11.5600000000004,1.4854550163691371,-13.045455016369537,-131.80854835719788
2026-01-06 15:20:00+00:00,-1,1.16906,4476.72,4486.54,-9.819999999999709,1.6225408872870482,-11.442540887286757,-143.25108924448463
2026-01-07 07:00:00+00:00,1,1.1698,4447.8785,4467.2965,19.418000000000575,1.6269212551995984,17.791078744800977,-125.46001049968365
2026-01-07 08:30:00+00:00,-1,1.167875,4467.2965,4463.755,3.541500000000269,1.3257166552028146,2.2157833447974546,-123.24422715488619
2026-01-07 10:00:00+00:00,-1,1.16858,4463.755,4455.13,8.625,1.280977830264317,7.344022169735683,-115.90020498515051
2026-01-07 11:30:00+00:00,1,1.168875,4455.13,4441.485,-13.645000000000437,1.3423556811131552,-14.987355681113591,-130.8875606662641
2026-01-07 15:00:00+00:00,1,1.1693099999999998,4441.485,4459.565,18.079999999999927,1.5118248130153966,16.56817518698453,-114.31938547927957
2026-01-08 11:40:00+00:00,-1,1.16781,4426.57,4420.76,5.809999999999491,1.3413540398970158,4.468645960102474,-109.8507395191771
2026-01-08 13:30:00+00:00,-1,1.166715,4427.16,4434.655,-7.494999999999891,1.481658465975741,-8.976658465975632,-118.82739798515273
2026-01-08 15:00:00+00:00,-1,1.16656,4434.655,4461.0115,-26.35649999999987,1.3508181402755826,-27.70731814027545,-146.5347161254282
2026-01-09 07:05:00+00:00,-1,1.1648999999999998,4474.785,4466.745,8.039999999999964,1.1768494574029915,6.863150542596972,-139.67156558283122
2026-01-09 08:35:00+00:00,-1,1.1642899999999998,4466.745,4473.89,-7.145000000000437,1.2195598337507163,-8.364559833751153,-148.03612541658237
2026-01-09 13:00:00+00:00,-1,1.16418,4469.54,4489.815,-20.274999999999636,1.6488284495870644,-21.9238284495867,-169.95995386616906
