exit_date,cum_pnl
2026-05-26,-9999.398784809906
2026-05-27,35207.94569924801
2026-05-28,100300.16550942555
2026-05-29,170275.499127909
2026-06-01,187901.80449587887
2026-06-02,221729.11632715396
2026-06-03,236061.02731964667
2026-06-04,247375.19180711484
2026-06-05,389102.4622952356
2026-06-08,369755.85725237185
2026-06-09,310812.0874355782
2026-06-10,355762.5216743517
2026-06-11,466404.7553681843
2026-06-12,486901.9116349453
2026-06-15,479956.32225661475
2026-06-16,469732.90294580674
2026-06-17,459288.03821494576
