timeframe,symbol,source_file,rows,start,end,large_gap_count,large_gap_pct,exclude,reason
60m,ACWI,C:\Users\marti\from\data\cache\yahoo\ACWI_60m_730d.csv,7876,2023-07-24 11:00:00+00:00,2026-06-18 15:02:16+00:00,790,10.031746031746032,True,large internal gaps >0.5%
60m,BTC-USD,C:\Users\marti\from\data\cache\yahoo\BTC_USD_60m_730d.csv,17480,2024-06-19 00:00:00+00:00,2026-06-18 15:02:19+00:00,2,0.011442302191200869,False,
60m,CL=F,C:\Users\marti\from\data\cache\yahoo\CL_F_60m_730d.csv,13574,2024-01-25 05:00:00+00:00,2026-06-18 03:14:08+00:00,162,1.1935460104619464,True,large internal gaps >0.5%
60m,DBC,C:\Users\marti\from\data\cache\yahoo\DBC_60m_730d.csv,10568,2023-07-24 11:00:00+00:00,2026-06-18 15:01:50+00:00,739,6.993470237531938,True,large internal gaps >0.5%
60m,DIA,C:\Users\marti\from\data\cache\yahoo\DIA_60m_730d.csv,12096,2023-07-24 08:00:00+00:00,2026-06-18 15:01:32+00:00,729,6.027284001653576,True,large internal gaps >0.5%
60m,DX-Y.NYB,C:\Users\marti\from\data\cache\yahoo\DX_Y_NYB_60m_730d.csv,14411,2024-01-25 05:00:00+00:00,2026-06-18 03:14:15+00:00,146,1.0131852879944483,True,large internal gaps >0.5%
60m,EEM,C:\Users\marti\from\data\cache\yahoo\EEM_60m_730d.csv,11862,2023-07-24 08:00:00+00:00,2026-06-18 15:02:13+00:00,729,6.146193406964,True,large internal gaps >0.5%
60m,EFA,C:\Users\marti\from\data\cache\yahoo\EFA_60m_730d.csv,11059,2023-07-24 10:00:00+00:00,2026-06-18 15:02:18+00:00,734,6.637728341472238,True,large internal gaps >0.5%
60m,ETH-USD,C:\Users\marti\from\data\cache\yahoo\ETH_USD_60m_730d.csv,17477,2024-06-19 00:00:00+00:00,2026-06-18 15:02:23+00:00,2,0.011444266422522316,False,
60m,EURUSD=X,C:\Users\marti\from\data\cache\yahoo\EURUSD_X_60m_730d.csv,17221,2023-08-31 23:00:00+00:00,2026-06-18 03:23:48+00:00,154,0.894308943089431,True,large internal gaps >0.5%
60m,EWG,C:\Users\marti\from\data\cache\yahoo\EWG_60m_730d.csv,10639,2023-07-24 08:00:00+00:00,2026-06-18 15:02:13+00:00,741,6.965595036661027,True,large internal gaps >0.5%
60m,EWJ,C:\Users\marti\from\data\cache\yahoo\EWJ_60m_730d.csv,11896,2023-07-24 08:00:00+00:00,2026-06-18 15:02:14+00:00,731,6.145439260193358,True,large internal gaps >0.5%
60m,EWU,C:\Users\marti\from\data\cache\yahoo\EWU_60m_730d.csv,9634,2023-07-24 12:00:00+00:00,2026-06-18 15:01:34+00:00,745,7.733831620471296,True,large internal gaps >0.5%
60m,EWZ,C:\Users\marti\from\data\cache\yahoo\EWZ_60m_730d.csv,11611,2023-07-24 08:00:00+00:00,2026-06-18 15:02:19+00:00,731,6.296296296296296,True,large internal gaps >0.5%
60m,FXA,C:\Users\marti\from\data\cache\yahoo\FXA_60m_730d.csv,6612,2023-07-24 11:00:00+00:00,2026-06-18 14:40:04+00:00,805,12.176675238239298,True,large internal gaps >0.5%
60m,FXB,C:\Users\marti\from\data\cache\yahoo\FXB_60m_730d.csv,6826,2023-07-24 09:00:00+00:00,2026-06-18 14:54:41+00:00,773,11.326007326007325,True,large internal gaps >0.5%
60m,FXE,C:\Users\marti\from\data\cache\yahoo\FXE_60m_730d.csv,8768,2023-07-24 12:00:00+00:00,2026-06-18 15:00:21+00:00,741,8.452150108360899,True,large internal gaps >0.5%
60m,FXI,C:\Users\marti\from\data\cache\yahoo\FXI_60m_730d.csv,12102,2023-07-24 08:00:00+00:00,2026-06-18 15:02:10+00:00,729,6.02429551276754,True,large internal gaps >0.5%
60m,FXY,C:\Users\marti\from\data\cache\yahoo\FXY_60m_730d.csv,11402,2023-07-24 08:00:00+00:00,2026-06-18 15:01:32+00:00,740,6.490658714147882,True,large internal gaps >0.5%
60m,GC=F,C:\Users\marti\from\data\cache\yahoo\GC_F_60m_730d.csv,13794,2024-01-25 05:00:00+00:00,2026-06-18 03:13:59+00:00,145,1.0512578844341334,True,large internal gaps >0.5%
60m,GDX,C:\Users\marti\from\data\cache\yahoo\GDX_60m_730d.csv,12081,2023-07-24 08:00:00+00:00,2026-06-18 15:01:48+00:00,729,6.03476821192053,True,large internal gaps >0.5%
60m,GDXJ,C:\Users\marti\from\data\cache\yahoo\GDXJ_60m_730d.csv,11853,2023-07-24 09:00:00+00:00,2026-06-18 15:01:50+00:00,729,6.150860614242322,True,large internal gaps >0.5%
