entry_time,exit_time,direction,leader_close,xau_entry,xau_exit,gross,spread_cost,pnl,equity
2026-03-24 14:55:00+00:00,2026-03-24 15:40:00,-1,653.9400024414062,4416.225,4424.6535,-8.428499999999985,2.404089934826457,-10.832589934826443,-10.832589934826443
2026-03-24 15:40:00+00:00,2026-03-24 17:25:00,-1,656.239990234375,4424.6535,4400.1065,24.54700000000048,1.8558070979363421,22.691192902064138,11.858602967237696
2026-03-24 17:25:00+00:00,2026-03-24 18:10:00,1,653.405029296875,4400.1065,4389.76,-10.34649999999965,1.5806470495790512,-11.927147049578702,-0.06854408234100617
2026-03-24 18:10:00+00:00,2026-03-24 18:55:00,-1,653.8200073242188,4389.76,4389.68,0.07999999999992724,1.576257953486214,-1.4962579534862868,-1.564802035827293
2026-03-24 18:55:00+00:00,2026-03-24 19:40:00,-1,654.8599853515625,4389.68,4401.39,-11.710000000000036,1.5673578609023995,-13.277357860902436,-14.84215989672973
2026-03-24 19:40:00+00:00,2026-03-24 20:25:00,1,653.8200073242188,4401.39,4455.82,54.42999999999938,1.5913188613135725,52.83868113868581,37.996521241956074
2026-03-24 20:25:00+00:00,2026-03-25 08:10:00,-1,657.39,4455.82,4558.625,-102.80500000000029,1.6530946931243782,-104.45809469312466,-66.46157345116859
2026-03-25 08:15:00+00:00,2026-03-25 10:00:00,-1,660.3,4563.59,4559.2485,4.341500000000451,1.2619229278268134,3.0795770721736377,-63.381996378994955
2026-03-25 10:00:00+00:00,2026-03-25 10:45:00,1,658.89,4559.2485,4557.515,-1.733499999999367,1.2849738263504686,-3.018473826349836,-66.40047020534479
2026-03-25 10:45:00+00:00,2026-03-25 11:30:00,1,658.34,4557.515,4582.825,25.30999999999949,1.262848915231078,24.047151084768412,-42.35331912057637
2026-03-25 11:30:00+00:00,2026-03-25 12:15:00,-1,659.34,4582.825,4563.02,19.80499999999938,1.3005247688720984,18.504475231127284,-23.84884388944909
2026-03-25 12:20:00+00:00,2026-03-25 13:05:00,1,658.09,4556.345,4561.36,5.014999999999418,1.4480789156135843,3.5669210843858337,-20.281922805063257
2026-03-25 13:05:00+00:00,2026-03-25 14:05:00,-1,658.85,4561.36,4550.965,10.394999999999527,1.283391552797204,9.111608447202324,-11.170314357860933
2026-03-25 14:05:00+00:00,2026-03-25 14:50:00,1,657.0999755859375,4550.965,4568.255,17.289999999999964,1.3351303519255524,15.95486964807441,4.784555290213477
