exit_date,cum_pnl
2026-05-26,-13598.383686947145
2026-05-27,20540.5244108055
2026-05-28,142615.18583619694
2026-05-29,141767.15766352
2026-06-01,182872.9096852075
2026-06-02,210074.3550584117
2026-06-03,230261.044232406
2026-06-04,225271.36677277568
2026-06-05,356114.90151878365
2026-06-08,356801.4003284604
2026-06-09,286447.16951682646
2026-06-10,297841.38688064745
2026-06-11,315081.7139002291
2026-06-12,358166.3398259745
2026-06-15,389190.20445962803
2026-06-16,417459.9544457847
2026-06-17,397962.6057087548
