time,direction,xau_entry,xau_exit,gross,spread_cost,pnl,equity
2026-05-26 05:45:00+00:00,-1,4527.975,4529.76,-1.7849999999998545,1.0385324825986038,-2.8235324825984582,-2.8235324825984582
2026-05-26 08:40:00+00:00,1,4525.6385,4513.305,-12.33349999999973,1.101748633879756,-13.435248633879487,-16.258781116477945
2026-05-26 08:45:00+00:00,1,4522.395,4519.12,-3.2750000000005457,1.0946027164685777,-4.369602716469124,-20.62838383294707
2026-05-26 08:50:00+00:00,1,4524.36,4519.094999999999,-5.265000000000327,1.0382471169686975,-6.303247116969025,-26.931630949916094
2026-05-26 08:55:00+00:00,1,4523.88,4522.865,-1.0150000000003274,1.0079214402619165,-2.0229214402622437,-28.95455239017834
2026-05-26 09:00:00+00:00,1,4524.639999999999,4519.865,-4.774999999999636,1.0574063360881387,-5.832406336087775,-34.786958726266114
2026-05-26 10:50:00+00:00,-1,4534.805,4511.6985,23.10649999999987,1.1419541021227597,21.96454589787711,-12.822412828389005
2026-05-26 13:55:00+00:00,1,4514.445,4515.4435,0.9985000000006039,1.147461333333328,-0.148961333332724,-12.97137416172173
2026-05-26 14:00:00+00:00,1,4517.495000000001,4511.65,-5.845000000001164,1.2294831043445955,-7.074483104345759,-20.04585726606749
2026-05-26 14:20:00+00:00,1,4516.0935,4506.120000000001,-9.973499999999149,1.1252869649805386,-11.098786964979688,-31.144644231047177
2026-05-26 14:55:00+00:00,1,4515.4435,4506.55,-8.893500000000131,1.1066248131539527,-10.000124813154084,-41.14476904420126
2026-05-26 15:00:00+00:00,1,4511.65,4506.2635,-5.386499999999614,1.1538379073756448,-6.540337907375259,-47.68510695157652
2026-05-26 15:05:00+00:00,1,4510.6900000000005,4503.17,-7.520000000000437,1.1711225259189382,-8.691122525919376,-56.3762294774959
2026-05-26 15:10:00+00:00,1,4509.495,4501.465,-8.029999999999745,1.1064986849026501,-9.136498684902396,-65.51272816239829
2026-05-26 15:15:00+00:00,1,4508.425,4505.165,-3.2600000000002183,1.1211602506714653,-4.381160250671684,-69.89388841306997
2026-05-26 15:25:00+00:00,1,4506.02,4508.115,2.094999999999345,1.1875503023639555,0.9074496976353896,-68.98643871543459
2026-05-26 15:30:00+00:00,1,4505.76,4509.754999999999,3.9949999999989814,1.1366119673617356,2.8583880326372455,-66.12805068279734
2026-05-27 01:05:00+00:00,-1,4516.81,4503.53,13.280000000000655,1.4839599757428894,11.796040024257765,-54.33201065853957
2026-05-27 01:10:00+00:00,-1,4519.6,4504.21,15.390000000000327,1.494452680344136,13.895547319656192,-40.436463338883385
2026-05-27 01:15:00+00:00,-1,4516.205,4499.7,16.50500000000011,1.469040584415555,15.035959415584554,-25.40050392329883
2026-05-27 02:50:00+00:00,-1,4503.87,4502.32,1.550000000000182,1.5180317460317623,0.031968253968419624,-25.368535669330413
2026-05-27 03:10:00+00:00,-1,4509.385,4503.18,6.204999999999927,1.3837254464285849,4.821274553571342,-20.54726111575907
2026-05-27 03:20:00+00:00,-1,4508.945,4502.52,6.424999999999272,1.4989668246445604,4.926033175354712,-15.621227940404358
2026-05-27 03:25:00+00:00,-1,4507.1815,4499.645,7.536499999999251,1.5032187500000447,6.033281249999206,-9.587946690405152
2026-05-27 03:30:00+00:00,-1,4505.175,4501.375,3.800000000000182,1.5186936619717966,2.2813063380283856,-7.306640352376767
2026-05-27 03:35:00+00:00,-1,4502.9815,4503.0650000000005,-0.08350000000064028,1.450688022284106,-1.5341880222847464,-8.840828374661513
2026-05-27 03:50:00+00:00,-1,4502.32,4512.280000000001,-9.960000000000946,1.4885147826087284,-11.448514782609674,-20.289343157271187
2026-05-27 04:10:00+00:00,-1,4503.18,4509.155,-5.974999999999454,1.5122846153846485,-7.487284615384103,-27.77662777265529
2026-05-27 04:15:00+00:00,-1,4501.005,4505.505,-4.5,1.497046632124379,-5.997046632124379,-33.77367440477967
2026-05-27 04:20:00+00:00,-1,4502.52,4506.305,-3.7849999999998545,1.4829121061359987,-5.267912106135853,-39.04158651091552
