exit_date,cum_pnl
2026-05-26,-16711.319082343227
2026-05-27,-2182.9528769846074
2026-05-28,133913.19581534958
2026-05-29,137396.50997466018
2026-06-01,174547.18300503556
2026-06-02,206441.09767903876
2026-06-03,192082.29843441304
2026-06-04,185901.17635385878
2026-06-05,313171.5397068625
2026-06-08,289175.6352417016
2026-06-09,218286.17193765557
2026-06-10,266207.71673329273
2026-06-11,286940.5946329375
2026-06-12,339952.0234162622
2026-06-15,338505.87882356794
2026-06-16,388267.1631615883
2026-06-17,368651.6883222244
