time,bucket_ms,open,high,low,close,spread,ticks,ask_vol,bid_vol,first_tick_ms,last_tick_ms
2026-05-22 13:55:00+00:00,1779458100000,159.106,159.13150000000002,159.093,159.094,0.004762886597940181,291,1.6785567245122903,1.689828210270282,1779458100032,1779458399989
2026-05-22 14:00:00+00:00,1779458400000,159.09199999999998,159.167,159.072,159.15800000000002,0.0051609071274297405,926,1.5046652555465698,1.8081965683345917,1779458400093,1779458698689
2026-05-22 14:05:00+00:00,1779458700000,159.1585,159.175,159.1365,159.139,0.004574209245741321,411,1.5895620715009036,1.9719951515360181,1779458700262,1779458999358
2026-05-22 14:10:00+00:00,1779459000000,159.139,159.176,159.132,159.1695,0.004698863636364514,352,1.899914788590236,1.6240909356962552,1779459000426,1779459299627
2026-05-22 14:15:00+00:00,1779459300000,159.17000000000002,159.17849999999999,159.1565,159.1655,0.004618343195266377,338,1.5787870083334883,1.5113018028129488,1779459300600,1779459587893
2026-05-22 14:20:00+00:00,1779459600000,159.16199999999998,159.1755,159.1575,159.16699999999997,0.004477443609021604,266,1.572180479989016,1.6845112994201201,1779459600246,1779459899642
2026-05-22 14:25:00+00:00,1779459900000,159.16649999999998,159.16750000000002,159.14,159.1565,0.004126530612246737,245,1.7572245193987477,1.5129796174107766,1779459900913,1779460199226
2026-05-22 14:30:00+00:00,1779460200000,159.1575,159.1585,159.13049999999998,159.1435,0.0038533007334950655,409,1.9390464822937048,1.8753545631114894,1779460200601,1779460499605
2026-05-22 14:35:00+00:00,1779460500000,159.143,159.15449999999998,159.13299999999998,159.151,0.0041502145922749775,233,1.6332618274402209,1.5395708457594777,1779460502561,1779460793853
2026-05-22 14:40:00+00:00,1779460800000,159.1515,159.1525,159.136,159.14,0.003800000000004264,215,1.511813978261726,1.4836744480354842,1779460801147,1779461092155
2026-05-22 14:45:00+00:00,1779461100000,159.1395,159.15449999999998,159.11849999999998,159.14600000000002,0.004587662337661912,308,1.917629892562891,1.9089610688872152,1779461101722,1779461399844
2026-05-22 14:50:00+00:00,1779461400000,159.1465,159.16199999999998,159.1185,159.1215,0.004384393063584706,346,2.3015318106364653,1.8281503140581825,1779461400100,1779461699040
2026-05-22 14:55:00+00:00,1779461700000,159.12099999999998,159.1365,159.09199999999998,159.1035,0.004183745583039513,566,2.0895936644961894,1.9796996697941434,1779461700158,1779461999991
2026-05-22 15:00:00+00:00,1779462000000,159.1025,159.1385,159.0965,159.1005,0.00413883299798756,497,2.0259155145353476,2.26368211764445,1779462000095,1779462298282
2026-05-22 15:05:00+00:00,1779462300000,159.1015,159.125,159.0875,159.1145,0.004204954954954933,444,1.8546847072807517,2.2235135414578893,1779462300441,1779462595913
2026-05-22 15:10:00+00:00,1779462600000,159.11450000000002,159.125,159.101,159.11700000000002,0.004248868778280897,221,1.903076941611001,2.1113122404970195,1779462600010,1779462898991
2026-05-22 15:15:00+00:00,1779462900000,159.115,159.1235,159.099,159.11599999999999,0.003949748743717885,199,1.7391457539706974,1.5324120910922487,1779462900108,1779463199531
2026-05-22 15:20:00+00:00,1779463200000,159.1175,159.137,159.1155,159.135,0.003916129032258427,155,1.5457419556956138,1.6780645478156304,1779463204191,1779463499893
2026-05-22 15:25:00+00:00,1779463500000,159.136,159.139,159.1155,159.12900000000002,0.003958333333332609,168,1.4991666915870847,1.6605357485158103,1779463500098,1779463799817
2026-05-22 15:30:00+00:00,1779463800000,159.1275,159.1645,159.1155,159.163,0.00411388888888769,360,1.710694468021393,1.6208333641290664,1779463800126,1779464099355
2026-05-22 15:35:00+00:00,1779464100000,159.1635,159.18200000000002,159.155,159.179,0.004280487804876767,246,1.7681301018086875,1.6165040876807235,1779464100164,1779464387006
2026-05-22 15:40:00+00:00,1779464400000,159.18,159.1985,159.16899999999998,159.19400000000002,0.004092664092666735,259,1.702123575228982,1.6115058181828974,1779464400172,1779464699679
2026-05-22 15:45:00+00:00,1779464700000,159.195,159.21949999999998,159.1745,159.1925,0.003974603174602663,315,1.5018095531160869,2.042952408866277,1779464701249,1779464997306
2026-05-22 15:50:00+00:00,1779465000000,159.19400000000002,159.2215,159.1905,159.212,0.004028985507246461,276,1.3708333627901215,1.4796739315641099,1779465009662,1779465299716
2026-05-22 15:55:00+00:00,1779465300000,159.2105,159.2345,159.19799999999998,159.20100000000002,0.004649572649572016,234,1.50123933594451,1.6843162698623462,1779465300122,1779465590801
