time,bucket_ms,open,high,low,close,spread,ticks,ask_vol,bid_vol,first_tick_ms,last_tick_ms
2026-05-01 00:00:00+00:00,1777593600000,156.99,157.11200000000002,156.96699999999998,157.08100000000002,0.006257413997627831,843,1.493985793910134,1.3459075051553167,1777593600109,1777593899799
2026-05-01 00:05:00+00:00,1777593900000,157.082,157.17000000000002,157.07999999999998,157.1185,0.006778452200304028,659,1.6532928959914512,1.3832018491169027,1777593900009,1777594199997
2026-05-01 00:10:00+00:00,1777594200000,157.11950000000002,157.152,157.0645,157.11700000000002,0.006166407465007163,643,1.788320407526304,1.3910575786237582,1777594200306,1777594498400
2026-05-01 00:15:00+00:00,1777594500000,157.118,157.1715,157.103,157.155,0.006268698060942433,722,1.6131856188879778,1.6000000251627364,1777594500187,1777594799593
2026-05-01 00:20:00+00:00,1777594800000,157.155,157.156,157.10399999999998,157.144,0.005980810234541532,469,1.6707889362693087,1.5748401160941703,1777594801067,1777595099953
2026-05-01 00:25:00+00:00,1777595100000,157.143,157.3075,157.143,157.28300000000002,0.005812499999999757,736,1.7574049125870932,1.8584103461193002,1777595100006,1777595399898
2026-05-01 00:30:00+00:00,1777595400000,157.2825,157.285,157.178,157.188,0.005794294294293497,666,1.8004204467968181,1.7195946151787813,1777595400005,1777595697916
2026-05-01 00:35:00+00:00,1777595700000,157.1885,157.24450000000002,157.1465,157.2405,0.005826771653543199,635,2.1241417593843357,1.461338609222352,1777595700513,1777595999110
2026-05-01 00:40:00+00:00,1777596000000,157.24099999999999,157.2685,157.2245,157.23899999999998,0.006351405622489811,498,1.6934337577666623,1.9428514258928566,1777596000202,1777596299338
2026-05-01 00:45:00+00:00,1777596300000,157.238,157.2835,157.2005,157.2025,0.006225165562914175,604,1.5997185657750692,1.6555298211558764,1777596300202,1777596599678
2026-05-01 00:50:00+00:00,1777596600000,157.20299999999997,157.239,157.04500000000002,157.05599999999998,0.006233766233766101,847,1.4896576375015511,1.7158914064150634,1777596600343,1777596899820
2026-05-01 00:55:00+00:00,1777596900000,157.0575,157.1175,156.99200000000002,157.0815,0.005236868186323535,1009,1.4555798113287026,1.575490609859924,1777596900135,1777597199975
2026-05-01 01:00:00+00:00,1777597200000,157.08100000000002,157.1685,157.05,157.167,0.005962831858408035,565,1.501380552232793,1.4472743614585,1777597200132,1777597499403
2026-05-01 01:05:00+00:00,1777597500000,157.168,157.20600000000002,157.15699999999998,157.192,0.0057000000000007114,430,1.5589535114377044,1.4529070000315822,1777597501074,1777597799902
2026-05-01 01:10:00+00:00,1777597800000,157.19299999999998,157.257,157.187,157.1905,0.005772828507795255,449,1.4838975776808299,1.4544989109570305,1777597800007,1777598098129
2026-05-01 01:15:00+00:00,1777598100000,157.18900000000002,157.192,157.1065,157.192,0.005832244008712847,459,1.5518954558569882,1.4515686533809486,1777598100179,1777598399533
2026-05-01 01:20:00+00:00,1777598400000,157.196,157.204,157.12900000000002,157.173,0.005765498652289524,371,1.4125067721801305,1.5275741481395424,1777598400136,1777598697710
2026-05-01 01:25:00+00:00,1777598700000,157.1725,157.243,157.14100000000002,157.1925,0.005525179856116544,278,1.4885971524732575,1.54262592380853,1777598700140,1777598999487
