time,bucket_ms,open,high,low,close,spread,ticks,ask_vol,bid_vol,first_tick_ms,last_tick_ms
2026-05-01 00:00:00+00:00,1777593600000,1.17289,1.172975,1.172815,1.172955,3.592307692307143e-05,390,1.5295127984804986,1.8200256158144046,1777593600098,1777593899913
2026-05-01 00:05:00+00:00,1777593900000,1.172965,1.1729850000000002,1.1728,1.172905,3.934782608695927e-05,276,1.469963749681694,1.8554347520289214,1777593900326,1777594199915
2026-05-01 00:10:00+00:00,1777594200000,1.172895,1.1729699999999998,1.1724299999999999,1.1725599999999998,3.834394904458898e-05,314,1.2921655825131637,1.8959235495822444,1777594201150,1777594497203
2026-05-01 00:15:00+00:00,1777594500000,1.172565,1.1726450000000002,1.1724299999999999,1.17259,3.8598484848492964e-05,264,1.595454523509199,1.6262878572398967,1777594500130,1777594798376
2026-05-01 00:20:00+00:00,1777594800000,1.172585,1.172745,1.172585,1.1726649999999998,3.365853658537379e-05,164,1.481707298901023,1.605182905022691,1777594800251,1777595096634
2026-05-01 00:25:00+00:00,1777595100000,1.17266,1.17276,1.17262,1.1727349999999999,3.7065217391291334e-05,184,1.5896738897199216,1.7339673703131468,1777595100748,1777595399906
2026-05-01 00:30:00+00:00,1777595400000,1.17273,1.1727949999999998,1.17265,1.1727599999999998,3.654639175257753e-05,194,1.695618538512397,1.6051546236903398,1777595404824,1777595698570
2026-05-01 00:35:00+00:00,1777595700000,1.172765,1.1729150000000002,1.1726649999999998,1.1728399999999999,3.613281249999559e-05,256,1.687499979045242,1.683984356932342,1777595701515,1777595999294
2026-05-01 00:40:00+00:00,1777596000000,1.172835,1.17293,1.1727750000000001,1.1729150000000002,3.4125874125869435e-05,143,1.2052447304025398,1.6458041742965057,1777596002578,1777596299228
2026-05-01 00:45:00+00:00,1777596300000,1.17292,1.1729699999999998,1.17279,1.1728,3.671641791045521e-05,201,1.266268628746716,1.797761178135279,1777596300349,1777596599546
2026-05-01 00:50:00+00:00,1777596600000,1.17279,1.172955,1.172715,1.1727949999999998,3.77459016393513e-05,244,1.4418032567520611,1.923565551394322,1777596602191,1777596899795
2026-05-01 00:55:00+00:00,1777596900000,1.1727850000000002,1.172955,1.172745,1.172765,3.359861591693695e-05,289,1.5080276622491724,2.3943252596475673,1777596900101,1777597199858
2026-05-01 01:00:00+00:00,1777597200000,1.1727750000000001,1.1728,1.172555,1.172605,3.100386100387722e-05,259,1.233590706895217,1.6165250783721452,1777597200116,1777597498450
2026-05-01 01:05:00+00:00,1777597500000,1.172615,1.172725,1.1725150000000002,1.17266,3.596153846152354e-05,156,1.462499975011899,1.7383333085439143,1777597504152,1777597799808
2026-05-01 01:10:00+00:00,1777597800000,1.1726649999999998,1.1728100000000001,1.1726,1.1728049999999999,3.5298507462705713e-05,134,1.393656688839642,1.752985054877267,1777597800627,1777598093704
