exit_time,equity,cum_pnl,drawdown,drawdown_pct
2026-05-22 19:30:00,5000681.759135793,681.7591357931153,0.0,0.0
2026-05-22 19:35:00,5001233.366602367,1233.366602366374,0.0,0.0
2026-05-22 19:40:00,5001570.169448501,1570.169448501866,0.0,0.0
2026-05-22 19:45:00,5002276.823149643,2276.8231496429794,0.0,0.0
2026-05-22 19:50:00,5003141.676686261,3141.6766862605928,0.0,0.0
2026-05-22 19:55:00,5003809.909733476,3809.909733475947,0.0,0.0
2026-05-22 20:00:00,5004889.688507854,4889.688507854058,0.0,0.0
2026-05-22 20:05:00,5006001.862821547,6001.862821547579,0.0,0.0
2026-05-22 20:10:00,5006653.769744291,6653.769744290837,0.0,0.0
2026-05-22 20:15:00,5006973.135924596,6973.135924596434,0.0,0.0
2026-05-22 20:20:00,5007442.199935604,7442.199935603727,0.0,0.0
2026-05-22 20:25:00,5007842.720314441,7842.72031444138,0.0,0.0
2026-05-22 20:30:00,5006786.74468967,6786.744689670581,1055.9756247708574,0.02111951249541715
2026-05-22 20:30:00,5007045.457550304,7045.457550303716,797.2627641372383,0.015945255282744764
2026-05-22 20:35:00,5007110.326778887,7110.326778886502,732.393535554409,0.01464787071108818
2026-05-22 20:45:00,5006041.765850702,6041.765850702099,1800.954463738948,0.03601908927477896
2026-05-22 20:50:00,5005235.155865564,5235.155865563963,2607.5644488772377,0.05215128897754476
2026-05-22 20:55:00,5005761.262610278,5761.2626102777995,2081.4577041631564,0.04162915408326313
2026-05-22 20:55:00,5005159.858616697,5159.858616697095,2682.861697744578,0.05365723395489156
2026-05-22 20:55:00,5004372.132083199,4372.132083198661,3470.588231242262,0.06941176462484523
2026-05-25 00:10:00,4996636.871471404,-3363.128528595681,11205.84884303715,0.22411697686074303
2026-05-25 00:20:00,4988943.041967626,-11056.958032374554,18899.67834681552,0.37799356693631037
2026-05-25 03:05:00,4987506.001580902,-12493.998419097656,20336.718733538873,0.4067343746707775
2026-05-25 03:20:00,4986047.83036457,-13952.169635430186,21794.889949871227,0.4358977989974246
2026-05-25 03:25:00,4984933.282033122,-15066.717966877886,22909.438281319104,0.4581887656263821
2026-05-25 09:50:00,4984442.397010855,-15557.602989144685,23400.323303585872,0.4680064660717175
2026-05-25 09:55:00,4984001.209372606,-15998.790627393562,23841.51094183512,0.47683021883670235
2026-05-25 11:50:00,4983500.254921261,-16499.745078739033,24342.465393180028,0.48684930786360053
2026-05-25 11:55:00,4983172.379616319,-16827.62038368037,24670.340698122047,0.4934068139624409
2026-05-25 13:20:00,4983962.6384930145,-16037.361506985106,23880.08182142675,0.47760163642853504
2026-05-25 13:25:00,4984908.555241368,-15091.444758632633,22934.16507307347,0.4586833014614694
2026-05-25 13:30:00,4985774.069878001,-14225.930121998892,22068.650436440483,0.44137300872880963
2026-05-25 13:35:00,4986930.036129557,-13069.96387044372,20912.684184884652,0.418253683697693
2026-05-25 13:40:00,4987830.813762799,-12169.186237201258,20011.906551642343,0.4002381310328469
2026-05-25 13:45:00,4988757.733242716,-11242.266757283944,19084.98707172554,0.3816997414345108
2026-05-25 13:50:00,4989425.5259387,-10574.474061300505,18417.194375741296,0.36834388751482594
2026-05-25 13:55:00,4989992.450446115,-10007.549553885,17850.269868326373,0.3570053973665275
2026-05-25 14:00:00,4989593.77263456,-10406.227365439912,18248.947679881006,0.3649789535976201
2026-05-25 14:05:00,4988448.7061305335,-11551.293869466426,19394.01418390777,0.3878802836781554
2026-05-25 14:50:00,4988231.545075919,-11768.454924081449,19611.1752385227,0.39222350477045403
2026-05-25 15:00:00,4988504.884534082,-11495.115465917248,19337.835780358873,0.38675671560717745
2026-05-25 15:05:00,4988187.7731844885,-11812.226815511125,19654.94712995272,0.3930989425990544
2026-05-25 15:15:00,4988988.588849193,-11011.411150806387,18854.131465247832,0.3770826293049567
2026-05-25 15:30:00,4989615.186011655,-10384.81398834483,18227.534302785993,0.3645506860557199
2026-05-25 15:35:00,4989986.186995948,-10013.813004052092,17856.533318493515,0.3571306663698703
2026-05-25 17:15:00,4989486.029963836,-10513.970036163495,18356.690350605175,0.3671338070121035
2026-05-25 17:20:00,4989527.201783846,-10472.798216154239,18315.518530595116,0.3663103706119023
2026-05-25 17:25:00,4989617.565229533,-10382.434770466725,18225.15508490801,0.3645031016981602
2026-05-25 17:35:00,4989596.232484596,-10403.76751540444,18246.4878298454,0.36492975659690796
2026-05-25 17:50:00,4990280.826750342,-9719.173249657912,17561.893564099446,0.3512378712819889
2026-05-25 17:55:00,4990800.990315752,-9199.00968424813,17041.729998689145,0.3408345999737829
2026-05-26 07:40:00,4990972.620557049,-9027.379442950984,16870.09975739196,0.3374019951478392
2026-05-26 07:45:00,4990406.551624165,-9593.448375835427,17436.168690276332,0.34872337380552665
2026-05-26 07:50:00,4990100.451032132,-9899.548967867897,17742.26928230934,0.3548453856461868
2026-05-26 07:55:00,4989208.327640881,-10791.672359119279,18634.39267356042,0.37268785347120836
2026-05-26 08:00:00,4988832.980107604,-11167.019892396806,19009.740206837654,0.3801948041367531
2026-05-26 08:00:00,4990968.0861276,-9031.913872400306,16874.634186841547,0.33749268373683095
2026-05-26 08:00:00,4993155.341455763,-6844.658544236376,14687.378858678043,0.29374757717356087
2026-05-26 08:05:00,4992995.414475137,-7004.585524862251,14847.305839303881,0.29694611678607763
2026-05-26 08:05:00,4995320.838488363,-4679.161511637271,12521.88182607852,0.2504376365215704
2026-05-26 08:05:00,4997037.938963489,-2962.0610365108932,10804.781350952573,0.2160956270190515
2026-05-26 08:10:00,4998990.472535144,-1009.527464856164,8852.247779297642,0.17704495558595285
2026-05-26 08:10:00,4999118.836887651,-881.1631123488513,8723.883426790126,0.17447766853580252
2026-05-26 08:15:00,4998810.362074672,-1189.6379253279206,9032.358239769004,0.1806471647953801
2026-05-26 08:15:00,5001139.421645012,1139.4216450114955,6703.298669429496,0.13406597338858992
