time,SPY
2026-03-24 08:00:00+00:00,656.96
2026-03-24 08:15:00+00:00,655.1
2026-03-24 08:30:00+00:00,655.04
2026-03-24 08:45:00+00:00,654.88
2026-03-24 09:00:00+00:00,652.86
2026-03-24 09:15:00+00:00,654.28
2026-03-24 09:30:00+00:00,654.89
2026-03-24 09:45:00+00:00,655.53
2026-03-24 10:00:00+00:00,655.68
2026-03-24 10:15:00+00:00,654.85
2026-03-24 10:30:00+00:00,655.41
2026-03-24 10:45:00+00:00,655.41
2026-03-24 11:00:00+00:00,655.4
2026-03-24 11:15:00+00:00,654.86
2026-03-24 11:30:00+00:00,654.53
2026-03-24 11:45:00+00:00,655.06
2026-03-24 12:00:00+00:00,654.15
2026-03-24 12:15:00+00:00,654.2878
2026-03-24 12:30:00+00:00,652.23
2026-03-24 12:45:00+00:00,652.41
2026-03-24 13:00:00+00:00,651.95
2026-03-24 13:30:00+00:00,650.72998046875
2026-03-24 13:45:00+00:00,651.47998046875
2026-03-24 14:00:00+00:00,652.6099853515625
2026-03-24 14:15:00+00:00,652.489990234375
2026-03-24 14:30:00+00:00,653.7440185546875
2026-03-24 14:45:00+00:00,653.9400024414062
2026-03-24 15:00:00+00:00,655.25
2026-03-24 15:15:00+00:00,656.0399780273438
2026-03-24 15:30:00+00:00,656.239990234375
2026-03-24 15:45:00+00:00,655.0399780273438
2026-03-24 16:00:00+00:00,655.0
2026-03-24 16:15:00+00:00,655.9600219726562
2026-03-24 16:30:00+00:00,655.25
2026-03-24 16:45:00+00:00,655.1500244140625
2026-03-24 17:00:00+00:00,652.9400024414062
2026-03-24 17:15:00+00:00,653.405029296875
2026-03-24 17:30:00+00:00,652.5900268554688
2026-03-24 17:45:00+00:00,654.2999877929688
2026-03-24 18:00:00+00:00,653.8200073242188
2026-03-24 18:15:00+00:00,654.5900268554688
2026-03-24 18:30:00+00:00,655.3200073242188
2026-03-24 18:45:00+00:00,654.8599853515625
2026-03-24 19:00:00+00:00,655.6500244140625
2026-03-24 19:15:00+00:00,654.4500122070312
2026-03-24 19:30:00+00:00,653.8200073242188
