time,TLT
2026-03-24 08:00:00+00:00,86.28
2026-03-24 08:15:00+00:00,86.19
2026-03-24 08:30:00+00:00,86.22
2026-03-24 08:45:00+00:00,86.26
2026-03-24 09:00:00+00:00,86.16
2026-03-24 09:15:00+00:00,86.07
2026-03-24 09:30:00+00:00,86.15
2026-03-24 09:45:00+00:00,86.17
2026-03-24 10:00:00+00:00,86.13
2026-03-24 10:15:00+00:00,86.1
2026-03-24 10:30:00+00:00,86.06
2026-03-24 10:45:00+00:00,86.04
2026-03-24 11:00:00+00:00,86.12
2026-03-24 11:15:00+00:00,86.09
2026-03-24 11:30:00+00:00,86.06
2026-03-24 11:45:00+00:00,86.01
2026-03-24 12:00:00+00:00,86.0
2026-03-24 12:15:00+00:00,86.02
2026-03-24 12:30:00+00:00,85.75
2026-03-24 12:45:00+00:00,85.75
2026-03-24 13:00:00+00:00,85.67
2026-03-24 13:15:00+00:00,85.69
2026-03-24 13:30:00+00:00,85.62999725341797
2026-03-24 13:45:00+00:00,85.68000030517578
2026-03-24 14:00:00+00:00,85.82499694824219
2026-03-24 14:15:00+00:00,85.97000122070312
2026-03-24 14:30:00+00:00,86.02999877929688
2026-03-24 14:45:00+00:00,85.9749984741211
2026-03-24 15:00:00+00:00,86.16999816894531
2026-03-24 15:15:00+00:00,86.2499008178711
2026-03-24 15:30:00+00:00,86.25
2026-03-24 15:45:00+00:00,86.04000091552734
2026-03-24 16:00:00+00:00,86.01069641113281
2026-03-24 16:15:00+00:00,86.12999725341797
2026-03-24 16:30:00+00:00,86.12999725341797
2026-03-24 16:45:00+00:00,86.03009796142578
2026-03-24 17:00:00+00:00,85.69499969482422
2026-03-24 17:15:00+00:00,85.75499725341797
2026-03-24 17:30:00+00:00,85.68499755859375
2026-03-24 17:45:00+00:00,85.86209869384766
2026-03-24 18:00:00+00:00,85.87000274658203
2026-03-24 18:15:00+00:00,85.95500183105469
2026-03-24 18:30:00+00:00,86.08000183105469
2026-03-24 18:45:00+00:00,86.05999755859375
2026-03-24 19:00:00+00:00,86.18000030517578
2026-03-24 19:15:00+00:00,86.11499786376953
2026-03-24 19:30:00+00:00,86.09500122070312
2026-03-24 19:45:00+00:00,86.01499938964844
2026-03-24 20:00:00+00:00,85.84
2026-03-24 20:15:00+00:00,86.18
2026-03-24 20:30:00+00:00,86.2
2026-03-24 20:45:00+00:00,86.201
2026-03-24 21:00:00+00:00,86.26
2026-03-24 21:15:00+00:00,86.33
2026-03-24 21:30:00+00:00,86.245
2026-03-24 21:45:00+00:00,86.2
2026-03-24 22:00:00+00:00,86.325
2026-03-24 22:15:00+00:00,86.265
2026-03-24 22:30:00+00:00,86.275
2026-03-24 22:45:00+00:00,86.36
2026-03-24 23:00:00+00:00,86.3871
2026-03-24 23:15:00+00:00,86.37
