time,XLB
2026-03-25 08:05:00+00:00,48.96
2026-03-25 08:10:00+00:00,48.96
2026-03-25 08:20:00+00:00,48.96
2026-03-25 08:35:00+00:00,48.96
2026-03-25 08:50:00+00:00,49.0
2026-03-25 09:05:00+00:00,49.0
2026-03-25 09:15:00+00:00,49.0
2026-03-25 09:25:00+00:00,49.0
2026-03-25 10:00:00+00:00,49.0
2026-03-25 10:45:00+00:00,49.08
2026-03-25 11:00:00+00:00,48.78
2026-03-25 11:05:00+00:00,48.93
2026-03-25 11:10:00+00:00,48.89
2026-03-25 11:15:00+00:00,48.79
2026-03-25 11:20:00+00:00,48.79
2026-03-25 11:25:00+00:00,48.97
2026-03-25 11:30:00+00:00,48.85
2026-03-25 11:35:00+00:00,48.89
2026-03-25 11:50:00+00:00,48.89
2026-03-25 11:55:00+00:00,48.95
2026-03-25 12:00:00+00:00,49.15
2026-03-25 12:05:00+00:00,48.8629
2026-03-25 12:15:00+00:00,48.95
2026-03-25 12:20:00+00:00,48.79
2026-03-25 12:35:00+00:00,48.79
2026-03-25 12:40:00+00:00,48.93
2026-03-25 12:45:00+00:00,48.93
2026-03-25 12:50:00+00:00,48.93
2026-03-25 13:05:00+00:00,48.93
2026-03-25 13:30:00+00:00,49.06999969482422
2026-03-25 13:35:00+00:00,49.04999923706055
2026-03-25 13:40:00+00:00,49.0099983215332
2026-03-25 13:45:00+00:00,48.869998931884766
2026-03-25 13:50:00+00:00,48.779998779296875
2026-03-25 13:55:00+00:00,48.7599983215332
2026-03-25 14:00:00+00:00,48.7599983215332
2026-03-25 14:05:00+00:00,48.755001068115234
2026-03-25 14:10:00+00:00,48.849998474121094
2026-03-25 14:15:00+00:00,48.88999938964844
2026-03-25 14:20:00+00:00,48.86000061035156
2026-03-25 14:25:00+00:00,48.974998474121094
2026-03-25 14:30:00+00:00,49.060001373291016
2026-03-25 14:35:00+00:00,49.04999923706055
2026-03-25 14:40:00+00:00,49.05500030517578
2026-03-25 14:45:00+00:00,49.13999938964844
2026-03-25 14:50:00+00:00,49.15999984741211
2026-03-25 14:55:00+00:00,49.15999984741211
2026-03-25 15:00:00+00:00,49.15999984741211
2026-03-25 15:05:00+00:00,49.1150016784668
2026-03-25 15:10:00+00:00,49.07500076293945
2026-03-25 15:15:00+00:00,48.97999954223633
2026-03-25 15:20:00+00:00,49.119998931884766
2026-03-25 15:25:00+00:00,49.189998626708984
2026-03-25 15:30:00+00:00,49.23500061035156
2026-03-25 15:35:00+00:00,49.18000030517578
2026-03-25 15:40:00+00:00,49.224998474121094
2026-03-25 15:45:00+00:00,49.25
2026-03-25 15:50:00+00:00,49.26499938964844
2026-03-25 15:55:00+00:00,49.27000045776367
2026-03-25 16:00:00+00:00,49.2400016784668
2026-03-25 16:05:00+00:00,49.244998931884766
2026-03-25 16:10:00+00:00,49.20000076293945
2026-03-25 16:15:00+00:00,49.17499923706055
2026-03-25 16:20:00+00:00,49.2599983215332
2026-03-25 16:25:00+00:00,49.2400016784668
2026-03-25 16:30:00+00:00,49.28499984741211
2026-03-25 16:35:00+00:00,49.290000915527344
2026-03-25 16:40:00+00:00,49.279998779296875
2026-03-25 16:45:00+00:00,49.25
2026-03-25 16:50:00+00:00,49.27000045776367
2026-03-25 16:55:00+00:00,49.275001525878906
2026-03-25 17:00:00+00:00,49.29999923706055
2026-03-25 17:05:00+00:00,49.290000915527344
2026-03-25 17:10:00+00:00,49.29999923706055
2026-03-25 17:15:00+00:00,49.32500076293945
2026-03-25 17:20:00+00:00,49.35499954223633
2026-03-25 17:25:00+00:00,49.39500045776367
