time,XLI
2026-03-25 09:50:00+00:00,165.27
2026-03-25 10:05:00+00:00,165.27
2026-03-25 10:20:00+00:00,165.27
2026-03-25 10:25:00+00:00,165.27
2026-03-25 10:35:00+00:00,165.77
2026-03-25 10:50:00+00:00,165.77
2026-03-25 11:00:00+00:00,165.5
2026-03-25 11:05:00+00:00,165.66
2026-03-25 11:10:00+00:00,165.67
2026-03-25 11:20:00+00:00,165.8
2026-03-25 11:25:00+00:00,165.67
2026-03-25 11:35:00+00:00,165.91
2026-03-25 11:40:00+00:00,165.9
2026-03-25 11:45:00+00:00,165.54
2026-03-25 11:50:00+00:00,165.57
2026-03-25 11:55:00+00:00,165.63
2026-03-25 12:00:00+00:00,165.99
2026-03-25 12:05:00+00:00,165.8
2026-03-25 12:10:00+00:00,165.72
2026-03-25 12:15:00+00:00,165.29
2026-03-25 12:20:00+00:00,165.1
2026-03-25 12:25:00+00:00,165.25
2026-03-25 12:30:00+00:00,164.95
2026-03-25 12:35:00+00:00,165.15
2026-03-25 12:40:00+00:00,165.17
2026-03-25 12:45:00+00:00,165.24
2026-03-25 12:50:00+00:00,165.22
2026-03-25 12:55:00+00:00,165.52
2026-03-25 13:00:00+00:00,165.79
2026-03-25 13:05:00+00:00,165.6188
2026-03-25 13:10:00+00:00,165.73
2026-03-25 13:30:00+00:00,165.89999389648438
2026-03-25 13:35:00+00:00,165.84500122070312
2026-03-25 13:40:00+00:00,165.4600067138672
2026-03-25 13:45:00+00:00,165.1999969482422
2026-03-25 13:50:00+00:00,164.77000427246094
2026-03-25 13:55:00+00:00,164.91000366210938
2026-03-25 14:00:00+00:00,164.8800048828125
2026-03-25 14:05:00+00:00,164.89999389648438
2026-03-25 14:10:00+00:00,165.16000366210938
2026-03-25 14:15:00+00:00,164.92999267578125
2026-03-25 14:20:00+00:00,164.67999267578125
2026-03-25 14:25:00+00:00,164.91000366210938
2026-03-25 14:30:00+00:00,165.1999969482422
2026-03-25 14:35:00+00:00,165.05999755859375
2026-03-25 14:40:00+00:00,165.15499877929688
2026-03-25 14:45:00+00:00,165.2550048828125
2026-03-25 14:50:00+00:00,165.30999755859375
2026-03-25 14:55:00+00:00,165.3800048828125
2026-03-25 15:00:00+00:00,165.3800048828125
2026-03-25 15:05:00+00:00,165.1649932861328
2026-03-25 15:10:00+00:00,165.0500030517578
2026-03-25 15:15:00+00:00,164.4600067138672
2026-03-25 15:20:00+00:00,164.9499969482422
2026-03-25 15:25:00+00:00,165.2899932861328
2026-03-25 15:30:00+00:00,165.3000030517578
2026-03-25 15:35:00+00:00,164.9499969482422
2026-03-25 15:40:00+00:00,165.05499267578125
2026-03-25 15:45:00+00:00,165.10499572753906
2026-03-25 15:50:00+00:00,165.23500061035156
2026-03-25 15:55:00+00:00,165.22999572753906
2026-03-25 16:00:00+00:00,165.00999450683594
2026-03-25 16:05:00+00:00,164.97000122070312
2026-03-25 16:10:00+00:00,164.91000366210938
2026-03-25 16:15:00+00:00,164.82000732421875
2026-03-25 16:20:00+00:00,165.07000732421875
2026-03-25 16:25:00+00:00,164.97000122070312
2026-03-25 16:30:00+00:00,165.19000244140625
2026-03-25 16:35:00+00:00,165.1699981689453
2026-03-25 16:40:00+00:00,165.10000610351562
