time,XLV
2026-03-25 08:15:00+00:00,145.8
2026-03-25 08:30:00+00:00,145.81
2026-03-25 08:35:00+00:00,145.5
2026-03-25 08:40:00+00:00,145.83
2026-03-25 08:45:00+00:00,145.44
2026-03-25 08:50:00+00:00,145.44
2026-03-25 09:00:00+00:00,145.3
2026-03-25 09:05:00+00:00,145.26
2026-03-25 09:10:00+00:00,145.57
2026-03-25 09:20:00+00:00,145.6
2026-03-25 09:30:00+00:00,145.6
2026-03-25 09:45:00+00:00,145.37
2026-03-25 09:50:00+00:00,145.48
2026-03-25 10:00:00+00:00,145.36
2026-03-25 10:05:00+00:00,145.42
2026-03-25 10:10:00+00:00,145.46
2026-03-25 10:15:00+00:00,145.37
2026-03-25 10:20:00+00:00,145.46
2026-03-25 10:35:00+00:00,145.46
2026-03-25 10:45:00+00:00,145.42
2026-03-25 10:50:00+00:00,145.42
2026-03-25 11:05:00+00:00,145.48
2026-03-25 11:10:00+00:00,145.44
2026-03-25 11:20:00+00:00,145.49
2026-03-25 11:25:00+00:00,145.53
2026-03-25 11:30:00+00:00,145.59
2026-03-25 11:35:00+00:00,145.62
2026-03-25 11:40:00+00:00,145.62
2026-03-25 11:45:00+00:00,145.55
2026-03-25 11:50:00+00:00,145.55
2026-03-25 12:00:00+00:00,145.84
2026-03-25 12:05:00+00:00,145.67
2026-03-25 12:10:00+00:00,145.58
2026-03-25 12:15:00+00:00,145.5
2026-03-25 12:20:00+00:00,145.35
2026-03-25 12:25:00+00:00,145.41
2026-03-25 12:30:00+00:00,145.38
2026-03-25 12:35:00+00:00,145.48
2026-03-25 12:40:00+00:00,145.54
2026-03-25 12:45:00+00:00,145.46
2026-03-25 12:50:00+00:00,145.32
2026-03-25 13:00:00+00:00,145.51
2026-03-25 13:05:00+00:00,145.55
2026-03-25 13:10:00+00:00,145.5077
2026-03-25 13:30:00+00:00,146.19500732421875
2026-03-25 13:35:00+00:00,146.0
2026-03-25 13:40:00+00:00,146.0399932861328
2026-03-25 13:45:00+00:00,145.75999450683594
2026-03-25 13:50:00+00:00,145.88999938964844
2026-03-25 13:55:00+00:00,145.80999755859375
2026-03-25 14:00:00+00:00,146.01499938964844
2026-03-25 14:05:00+00:00,145.83999633789062
2026-03-25 14:10:00+00:00,146.16000366210938
2026-03-25 14:15:00+00:00,145.9199981689453
2026-03-25 14:20:00+00:00,145.9499969482422
2026-03-25 14:25:00+00:00,146.02000427246094
2026-03-25 14:30:00+00:00,146.07000732421875
2026-03-25 14:35:00+00:00,145.88999938964844
2026-03-25 14:40:00+00:00,145.96499633789062
2026-03-25 14:45:00+00:00,146.1649932861328
2026-03-25 14:50:00+00:00,146.14999389648438
2026-03-25 14:55:00+00:00,146.2100067138672
2026-03-25 15:00:00+00:00,146.25999450683594
2026-03-25 15:05:00+00:00,145.98500061035156
2026-03-25 15:10:00+00:00,145.77999877929688
2026-03-25 15:15:00+00:00,145.52000427246094
2026-03-25 15:20:00+00:00,146.0
2026-03-25 15:25:00+00:00,146.27999877929688
2026-03-25 15:30:00+00:00,146.24000549316406
2026-03-25 15:35:00+00:00,146.08999633789062
2026-03-25 15:40:00+00:00,146.1699981689453
2026-03-25 15:45:00+00:00,146.25
2026-03-25 15:50:00+00:00,146.24000549316406
2026-03-25 15:55:00+00:00,146.3000030517578
2026-03-25 16:00:00+00:00,146.26499938964844
2026-03-25 16:05:00+00:00,146.22999572753906
2026-03-25 16:10:00+00:00,146.3000030517578
2026-03-25 16:15:00+00:00,146.25999450683594
2026-03-25 16:20:00+00:00,146.47000122070312
2026-03-25 16:25:00+00:00,146.33999633789062
2026-03-25 16:30:00+00:00,146.4250030517578
2026-03-25 16:35:00+00:00,146.5
2026-03-25 16:40:00+00:00,146.49000549316406
