time,FXA
2026-03-25 09:00:00+00:00,69.1
2026-03-25 09:10:00+00:00,69.1
2026-03-25 09:25:00+00:00,69.1
2026-03-25 09:40:00+00:00,69.1
2026-03-25 09:45:00+00:00,69.0
2026-03-25 09:55:00+00:00,69.0
2026-03-25 10:10:00+00:00,69.0
2026-03-25 10:25:00+00:00,69.0
2026-03-25 10:40:00+00:00,69.0
2026-03-25 10:55:00+00:00,69.0
2026-03-25 11:05:00+00:00,69.13
2026-03-25 11:10:00+00:00,69.13
2026-03-25 11:25:00+00:00,69.13
2026-03-25 11:40:00+00:00,69.13
2026-03-25 11:55:00+00:00,69.13
2026-03-25 12:00:00+00:00,69.1
2026-03-25 12:10:00+00:00,69.1
2026-03-25 12:25:00+00:00,69.1
2026-03-25 12:40:00+00:00,69.1
2026-03-25 12:55:00+00:00,69.1
2026-03-25 13:10:00+00:00,69.1
2026-03-25 13:30:00+00:00,68.95999908447266
2026-03-25 13:40:00+00:00,68.95999908447266
2026-03-25 13:55:00+00:00,68.83999633789062
2026-03-25 14:10:00+00:00,68.91999816894531
2026-03-25 14:20:00+00:00,68.93000030517578
2026-03-25 14:55:00+00:00,69.0199966430664
2026-03-25 15:15:00+00:00,68.87999725341797
2026-03-25 15:20:00+00:00,68.95999908447266
2026-03-25 15:25:00+00:00,68.94999694824219
2026-03-25 15:30:00+00:00,68.98999786376953
2026-03-25 15:50:00+00:00,68.93000030517578
2026-03-25 15:55:00+00:00,68.94000244140625
2026-03-25 16:05:00+00:00,68.93000030517578
2026-03-25 16:20:00+00:00,68.97000122070312
2026-03-25 16:45:00+00:00,69.00140380859375
2026-03-25 16:50:00+00:00,68.98999786376953
2026-03-25 17:15:00+00:00,68.9800033569336
2026-03-25 18:55:00+00:00,68.87999725341797
2026-03-25 19:05:00+00:00,68.83290100097656
2026-03-25 20:00:00+00:00,68.8329
2026-03-25 20:10:00+00:00,68.8329
2026-03-25 20:25:00+00:00,68.8329
2026-03-25 20:40:00+00:00,68.8329
